id;icd_category_id;icd_code;icd_description;record_status
44ee26d8-937f-2a1f-62bd-d0c9d6c03831;d30567a8-36ff-7875-8687-2029d9a4a010;A05;Other bacterial foodborne intoxications, not elsewhere classified;A
fceb909b-8180-5e49-061b-00b8cd90592;d30567a8-36ff-7875-8687-2029d9a4a010;A05.0;Foodborne staphylococcal intoxication;A
4ea31d4c-702b-0321-9483-f3b2daa716da;d30567a8-36ff-7875-8687-2029d9a4a010;A05.1;Botulism;A
83272438-7ff1-4aff-5582-167aaf5e74b;d30567a8-36ff-7875-8687-2029d9a4a010;A05.2;Foodborne Clostridium perfringens [Clostridium welchii] intoxication;A
2e685d28-24ba-65a3-4eb9-0af262ac3d01;d30567a8-36ff-7875-8687-2029d9a4a010;A05.3;Foodborne Vibrio parahaemolyticus intoxication;A
fa58a9fc-0b95-88d9-6a5a-ce59f74d2515;d30567a8-36ff-7875-8687-2029d9a4a010;A05.4;Foodborne Bacillus cereus intoxication;A
935ed0f6-593e-384a-07ea-be3aef3391ae;d30567a8-36ff-7875-8687-2029d9a4a010;A05.8;Other specified bacterial foodborne intoxications;A
7c0a585d-7bbb-34a0-2f09-15fe4b399031;d30567a8-36ff-7875-8687-2029d9a4a010;A05.9;Bacterial foodborne intoxication, unspecified;A
79036626-9fb4-968a-96e4-cffa1299160;d30567a8-36ff-7875-8687-2029d9a4a010;A06;Amoebiasis;A
11dae833-2855-381e-1f81-1274818a880;d30567a8-36ff-7875-8687-2029d9a4a010;A06.0;Acute amoebic dysentery;A
2ff72995-2285-7747-61f4-070ced2b9215;d30567a8-36ff-7875-8687-2029d9a4a010;A06.1;Chronic intestinal amoebiasis;A
bbe61c56-976a-0af2-3156-3840b7a57753;d30567a8-36ff-7875-8687-2029d9a4a010;A06.2;Amoebic nondysenteric colitis;A
563e70b3-1069-0f55-2fae-0af282be9eb9;d30567a8-36ff-7875-8687-2029d9a4a010;A06.3;Amoeboma of intestine;A
f0f6ba1b-1807-93a8-21a9-0a294edbb6c;d30567a8-36ff-7875-8687-2029d9a4a010;A06.4;Amoebic liver abscess;A
131f48de-4b51-06ad-1e49-8d548ea4148f;d30567a8-36ff-7875-8687-2029d9a4a010;A06.5;Amoebic lung abscess (J99.8*);A
22757d12-19b3-1449-8052-86b9b6a186a0;d30567a8-36ff-7875-8687-2029d9a4a010;A06.6;Amoebic brain abscess (G07*);A
e51bd4bc-8a92-0a67-29c0-89e5781c1f0c;d30567a8-36ff-7875-8687-2029d9a4a010;A06.7;Cutaneous amoebiasis;A
307c2130-834d-7ee0-6a67-b538a20414bb;d30567a8-36ff-7875-8687-2029d9a4a010;A06.8;Amoebic infection of other sites;A
6c5ac91e-8bc7-36a9-19b2-e74507de274e;d30567a8-36ff-7875-8687-2029d9a4a010;A06.9;Amoebiasis, unspecified;A
f01cef86-168f-2af4-05bc-32e05e3f4dd7;d30567a8-36ff-7875-8687-2029d9a4a010;A07;Other protozoal intestinal diseases;A
083ef291-544e-199b-14bd-d75b0e097b2e;d30567a8-36ff-7875-8687-2029d9a4a010;A07.0;Balantidiasis;A
de9e0517-7496-037b-a75b-c0443c6f8d8d;d30567a8-36ff-7875-8687-2029d9a4a010;A07.1;Giardiasis [lambliasis];A
e4fb68b9-8977-87d4-9811-5e00883148f6;d30567a8-36ff-7875-8687-2029d9a4a010;A07.2;Cryptosporidiosis;A
c9136750-1f4f-7194-764b-43153e31a40a;d30567a8-36ff-7875-8687-2029d9a4a010;A07.3;Isosporiasis;A
da3cb655-3e80-a508-5e9b-f97b80b87ade;d30567a8-36ff-7875-8687-2029d9a4a010;A07.8;Other specified protozoal intestinal diseases;A
9b6d56c1-0773-9013-1b7a-4907c2de2e45;d30567a8-36ff-7875-8687-2029d9a4a010;A07.9;Protozoal intestinal disease, unspecified;A
0213f4c2-3263-8a9e-2add-966f0db1117a;d30567a8-36ff-7875-8687-2029d9a4a010;A08;Viral and other specified intestinal infections;A
5cb0e918-1d88-579e-5cc5-f9f5208b33a0;d30567a8-36ff-7875-8687-2029d9a4a010;A08.0;Rotaviral enteritis;A
33186059-0fd5-8172-9ad6-097f054c150a;d30567a8-36ff-7875-8687-2029d9a4a010;A08.1;Acute gastroenteropathy due to Norwalk agent;A
3ec7e9b4-0286-6e8a-7d53-a0ee17ee76ce;d30567a8-36ff-7875-8687-2029d9a4a010;A08.2;Adenoviral enteritis;A
c900b8fd-4226-786d-143e-9d2cb010906a;d30567a8-36ff-7875-8687-2029d9a4a010;A08.3;Other viral enteritis;A
d87d40c6-48b1-a38d-8cf9-308843af2326;d30567a8-36ff-7875-8687-2029d9a4a010;A08.4;Viral intestinal infection, unspecified;A
38ecbc4a-3971-5ef5-6250-2664a1ee4c85;d30567a8-36ff-7875-8687-2029d9a4a010;A08.5;Other specified intestinal infections;A
ff98a39d-26f5-2d95-0e31-3c5769012d00;d30567a8-36ff-7875-8687-2029d9a4a010;A09;Other gastroenteritis and colitis of infectious and unspecified origin;A
58499105-3543-3e8f-19eb-59ec8a196069;d30567a8-36ff-7875-8687-2029d9a4a010;A09.0;Other and unspecified gastroenteritis and colitis of infectious origin;A
185147b2-50f8-0678-1309-bc8cc44a460a;d30567a8-36ff-7875-8687-2029d9a4a010;A09.9;Gastroenteritis and colitis of unspecified origin;A
57a8af81-3e06-341f-975d-08815bb7522d;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A
559ccd6e-a640-a593-4cf5-cbf5376317d1;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.0;Tuberculosis of lung, confirmed by sputum microscopy with or without culture;A
ea3ee1c8-45d5-203c-0496-742e29f53b16;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.1;Tuberculosis of lung, confirmed by culture only;A
1ad60e1e-1b27-4d2a-8af4-6c6bfb4560da;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.2;Tuberculosis of lung, confirmed histologically;A
9a89e4f7-7b2e-2a5c-1c16-4e523141221d;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.3;Tuberculosis of lung, confirmed by unspecified means;A
bca835a3-3692-4be7-985f-9509e9edfaf;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.4;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;A
c4fcb136-9a52-986e-04f3-7f092cc61376;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.5;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;A
9ea75cf3-4bd8-25c4-12b6-d7b01ade2525;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.6;Tuberculous pleurisy, confirmed bacteriologically and histologically;A
298ba863-9b47-8901-15ff-f738ff273aaf;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.7;Primary respiratory tuberculosis, confirmed bacteriologically and histologically;A
ed767fa7-4d05-2906-094f-2cc5511b55a7;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.8;Other respiratory tuberculosis, confirmed bacteriologically and histologically;A
d34156e1-31fc-5d9e-5fed-6e4abfd42b65;46fd5ccb-9bc5-3982-89e7-75399b7d480;A15.9;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;A
775354a4-a63e-2f0c-834f-55d73a2d3621;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A
83d34c3d-8df6-498b-8191-1de652be814c;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.0;Tuberculosis of lung, bacteriologically and histologically negative;A
c8bf1844-8f4d-8421-1686-c8270a4527de;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.1;Tuberculosis of lung, bacteriological and histological examination not done;A
f0cd8910-9c56-3b80-3ddc-03416c0b8388;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.2;Tuberculosis of lung, without mention of bacteriological or histological confirmation;A
5833491c-61f6-62a7-468d-bc128f8149a4;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.3;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;A
359ee814-221f-a111-9c61-8f8fa19b9d89;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.4;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;A
88677c38-484b-7e6a-4fd6-887695c729a8;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.5;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;A
06441272-6175-715d-1538-3e15b230570f;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.7;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;A
42246844-05f9-7324-4ed5-f9cb1598a5fe;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.8;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;A
310380c5-1e81-95d0-0c5f-34560e482ff1;46fd5ccb-9bc5-3982-89e7-75399b7d480;A16.9;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;A
763a5089-77e3-9114-2dfc-a014fa1889f5;46fd5ccb-9bc5-3982-89e7-75399b7d480;A17;Tuberculosis of nervous system;A
a3df556e-0689-5e0c-9d05-552dd90699eb;46fd5ccb-9bc5-3982-89e7-75399b7d480;A17.0;Tuberculous meningitis (G01*);A
1f5136da-56f4-326a-8ea5-479431cf62ed;46fd5ccb-9bc5-3982-89e7-75399b7d480;A17.1;Meningeal tuberculoma (G07*);A
abfda30f-13de-1702-4c4a-b27dd5ad4c25;46fd5ccb-9bc5-3982-89e7-75399b7d480;A17.8;Other tuberculosis of nervous system;A
f1a507c1-1db3-342d-128e-80f37ae383d4;46fd5ccb-9bc5-3982-89e7-75399b7d480;A17.9;Tuberculosis of nervous system, unspecified (G99.8*);A
a3e1b11f-986b-18cd-8c6e-6b141543180;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18;Tuberculosis of other organs;A
94e39fe6-4ec8-3bdd-0893-d227706a8e69;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.0;Tuberculosis of bones and joints;A
187911ea-6556-9ce3-8071-62b128c94fd8;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.1;Tuberculosis of genitourinary system;A
8a8d02f3-7c2e-5336-44c3-a0a0fad022cb;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.2;Tuberculous peripheral lymphadenopathy;A
946f86c7-192e-3960-14d9-932f07646211;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.3;Tuberculosis of intestines, peritoneum and mesenteric glands;A
280cc6dc-401e-8a18-102c-8e0072241a36;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.4;Tuberculosis of skin and subcutaneous tissue;A
bcf6bf37-8ff0-739c-4314-ca0eabbc2a60;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.5;Tuberculosis of eye;A
851145a0-5a9a-22d4-79bb-f557354542ae;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.6;Tuberculosis of ear;A
6b98ac5c-a483-9d1a-01df-9c623f08785d;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.7;Tuberculosis of adrenal glands (E35.1*);A
df8f2019-1de5-7c87-00d7-854735915340;46fd5ccb-9bc5-3982-89e7-75399b7d480;A18.8;Tuberculosis of other specified organs;A
9e0541c3-872c-7258-3173-b0c133c253ab;46fd5ccb-9bc5-3982-89e7-75399b7d480;A19;Miliary tuberculosis;A
b802445b-47f2-76ba-5172-b8b0a06f2180;46fd5ccb-9bc5-3982-89e7-75399b7d480;A19.0;Acute miliary tuberculosis of a single specified site;A
25b39538-7ad4-4df8-34be-206f5f20a2e7;46fd5ccb-9bc5-3982-89e7-75399b7d480;A19.1;Acute miliary tuberculosis of multiple sites;A
8637178e-4c7f-3789-7be7-25212c0a8abc;46fd5ccb-9bc5-3982-89e7-75399b7d480;A19.2;Acute miliary tuberculosis, unspecified;A
e2b1f14f-1844-45a8-8e00-c7f1d5d84b55;46fd5ccb-9bc5-3982-89e7-75399b7d480;A19.8;Other miliary tuberculosis;A
4c429c46-5e57-6061-6957-437795818bd8;46fd5ccb-9bc5-3982-89e7-75399b7d480;A19.9;Miliary tuberculosis, unspecified;A
ac7bd5b8-687f-6b8c-7bec-a28d4393697c;64b44e45-4087-78e4-3992-ab140d662cba;A20;Plague;A
17ecbf70-737d-4f26-8b9d-10c9570152d7;64b44e45-4087-78e4-3992-ab140d662cba;A20.0;Bubonic plague;A
b833541a-42e9-31a2-1ad9-15eda6359353;64b44e45-4087-78e4-3992-ab140d662cba;A20.1;Cellulocutaneous plague;A
afe11793-7ed8-0e42-505b-abc4685473ae;64b44e45-4087-78e4-3992-ab140d662cba;A20.2;Pneumonic plague;A
b5722631-525f-0d07-801f-0c74b73b931a;64b44e45-4087-78e4-3992-ab140d662cba;A20.3;Plague meningitis;A
ce5ff5fb-7673-1066-1a10-c4ddf55893dc;64b44e45-4087-78e4-3992-ab140d662cba;A20.7;Septicaemic plague;A
95be0a9a-2296-3d27-0ef8-e37ab49127c4;64b44e45-4087-78e4-3992-ab140d662cba;A20.8;Other forms of plague;A
411e76a3-4570-37cc-23a2-47cf8a9028b8;64b44e45-4087-78e4-3992-ab140d662cba;A20.9;Plague, unspecified;A
268125da-7b13-6a8c-915f-5200c2256d30;64b44e45-4087-78e4-3992-ab140d662cba;A21;Tularaemia;A
3955a7e0-a4e1-8de9-6ed0-47f5d6546fe3;64b44e45-4087-78e4-3992-ab140d662cba;A21.0;Ulceroglandular tularaemia;A
50a70897-41ad-0f28-9da3-aa13a43a451e;64b44e45-4087-78e4-3992-ab140d662cba;A21.1;Oculoglandular tularaemia;A
3d979f91-8911-2f53-181f-a903b15e3f57;64b44e45-4087-78e4-3992-ab140d662cba;A21.2;Pulmonary tularaemia;A
18a39d3b-5a5c-1d4b-2c4e-c766e5a3723d;64b44e45-4087-78e4-3992-ab140d662cba;A21.3;Gastrointestinal tularaemia;A
0abafdd8-6d2c-7799-4789-179cc5594682;64b44e45-4087-78e4-3992-ab140d662cba;A21.7;Generalized tularaemia;A
ea72a257-7588-2fe8-299c-13fa81aa7abc;64b44e45-4087-78e4-3992-ab140d662cba;A21.8;Other forms of tularaemia;A
0eba6928-400f-4b0f-5327-0ae5e36d1d16;64b44e45-4087-78e4-3992-ab140d662cba;A21.9;Tularaemia, unspecified;A
daa84095-6ba6-7f1a-32fc-120f7ccd307b;64b44e45-4087-78e4-3992-ab140d662cba;A22;Anthrax;A
9bcbe1f6-72d1-90c4-8e3d-a625d5b48632;64b44e45-4087-78e4-3992-ab140d662cba;A22.0;Cutaneous anthrax;A
434f559a-2fb9-13f0-807c-b87514195b49;64b44e45-4087-78e4-3992-ab140d662cba;A22.1;Pulmonary anthrax;A
7663cd6b-334f-18c7-7d86-0b637dad65a8;64b44e45-4087-78e4-3992-ab140d662cba;A22.2;Gastrointestinal anthrax;A
2a78aa35-8b4d-0953-0b53-c0102f16741a;64b44e45-4087-78e4-3992-ab140d662cba;A22.7;Anthrax sepsis;A
80cb29bf-3a2e-4eab-7cfe-8b7ba188a32d;64b44e45-4087-78e4-3992-ab140d662cba;A22.8;Other forms of anthrax;A
baa918be-a51f-a0ad-2770-ac1735054ea9;64b44e45-4087-78e4-3992-ab140d662cba;A22.9;Anthrax, unspecified;A
a31b159f-2f9f-6888-6ade-525bccc278b4;64b44e45-4087-78e4-3992-ab140d662cba;A23;Brucellosis;A
fdc61228-9716-9195-87ab-c4979af522da;64b44e45-4087-78e4-3992-ab140d662cba;A23.0;Brucellosis due to Brucella melitensis;A
c9e1bab8-627a-1291-4787-a6ed85239264;64b44e45-4087-78e4-3992-ab140d662cba;A23.1;Brucellosis due to Brucella abortus;A
27a12238-6d11-5073-663e-1faff4543e6;64b44e45-4087-78e4-3992-ab140d662cba;A23.2;Brucellosis due to Brucella suis;A
1c2db4e3-9f4b-6449-91f5-1031106f95b1;64b44e45-4087-78e4-3992-ab140d662cba;A23.3;Brucellosis due to Brucella canis;A
d3d8e0a1-34be-80e6-886e-a4ef2819a539;64b44e45-4087-78e4-3992-ab140d662cba;A23.8;Other brucellosis;A
e6635f2d-78fb-868c-1a5d-f653c85ca66d;64b44e45-4087-78e4-3992-ab140d662cba;A23.9;Brucellosis, unspecified;A
f7990a83-2519-86b6-4ea1-1c16576e7531;64b44e45-4087-78e4-3992-ab140d662cba;A24;Glanders and melioidosis;A
ddc24c28-6d24-6baa-2bdf-413fb2e540cb;64b44e45-4087-78e4-3992-ab140d662cba;A24.0;Glanders;A
57715161-1848-9d7a-06ce-50a9662e4cf7;64b44e45-4087-78e4-3992-ab140d662cba;A24.1;Acute and fulminating melioidosis;A
6f954203-6777-86ad-57c9-ebec40f91f20;64b44e45-4087-78e4-3992-ab140d662cba;A24.2;Subacute and chronic melioidosis;A
3f43affe-56be-3d07-9735-c099beab8291;64b44e45-4087-78e4-3992-ab140d662cba;A24.3;Other melioidosis;A
dca75216-0ca7-27db-8f27-ced45e6e3b47;64b44e45-4087-78e4-3992-ab140d662cba;A24.4;Melioidosis, unspecified;A
81cee622-2976-705b-70e1-f6a73a8c2e32;64b44e45-4087-78e4-3992-ab140d662cba;A25;Rat-bite fevers;A
22d91271-2163-1669-a0e4-dc37df735a64;64b44e45-4087-78e4-3992-ab140d662cba;A25.0;Spirillosis;A
dcb22206-7d04-5031-3a20-7562cd6fa71a;64b44e45-4087-78e4-3992-ab140d662cba;A25.1;Streptobacillosis;A
a50aa020-9d4d-4513-0fff-1ac3f96843fb;64b44e45-4087-78e4-3992-ab140d662cba;A25.9;Rat-bite fever, unspecified;A
e70eea1d-61fd-7d49-4cd3-4f4e917ea030;64b44e45-4087-78e4-3992-ab140d662cba;A26;Erysipeloid;A
2d14e7b6-9492-2d8f-4886-168669371ae;64b44e45-4087-78e4-3992-ab140d662cba;A26.0;Cutaneous erysipeloid;A
b230527f-8918-2873-22f4-1e307e48715c;64b44e45-4087-78e4-3992-ab140d662cba;A26.7;Erysipelothrix septicaemia;A
cafbeebe-46b0-023e-3631-d3c886071693;64b44e45-4087-78e4-3992-ab140d662cba;A26.8;Other forms of erysipeloid;A
ba9b2fd4-002b-24b0-2122-bc857026ef;64b44e45-4087-78e4-3992-ab140d662cba;A26.9;Erysipeloid, unspecified;A
f7b8d0f7-88c6-8f86-32fe-ccb2d2f3590f;64b44e45-4087-78e4-3992-ab140d662cba;A27;Leptospirosis;A
f9c60ba6-077f-2c53-2ece-d847f4f38254;64b44e45-4087-78e4-3992-ab140d662cba;A27.0;Leptospirosis icterohaemorrhagica;A
179fdb01-019d-7b3d-9e98-5025f9eb739f;64b44e45-4087-78e4-3992-ab140d662cba;A27.8;Other forms of leptospirosis;A
bbaa5e68-0024-02c3-8a16-492d21805c8c;64b44e45-4087-78e4-3992-ab140d662cba;A27.9;Leptospirosis, unspecified;A
11e0e0b6-4ce3-0730-4cc1-ef9262dd51d8;64b44e45-4087-78e4-3992-ab140d662cba;A28;Other zoonotic bacterial diseases, not elsewhere classified;A
95e76faf-4b66-0909-5bf0-bef9d32ae07;64b44e45-4087-78e4-3992-ab140d662cba;A28.0;Pasteurellosis;A
2a384715-3170-49d3-5146-cec6ad19f2e;64b44e45-4087-78e4-3992-ab140d662cba;A28.1;Cat-scratch disease;A
8f166cd1-54eb-0770-0246-2ab0ab5d6183;64b44e45-4087-78e4-3992-ab140d662cba;A28.2;Extraintestinal yersiniosis;A
de700dac-6ddd-4f3d-062c-41d1c7339186;64b44e45-4087-78e4-3992-ab140d662cba;A28.8;Other specified zoonotic bacterial diseases, not elsewhere classified;A
adf62589-6391-8d50-5c53-d849e4dc6a37;64b44e45-4087-78e4-3992-ab140d662cba;A28.9;Zoonotic bacterial disease, unspecified;A
b87eb6f6-993f-1142-6f40-619376b1a2e3;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30;Leprosy [Hansen's disease];A
9c8d5716-1799-5017-7afa-281aa4f249ab;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.0;Indeterminate leprosy;A
5812753a-7a88-2498-5d8b-c1b843105685;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.1;Tuberculoid leprosy;A
96164a4d-0e50-8bd4-3422-22ce49584103;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.2;Borderline tuberculoid leprosy;A
a089f2fa-5463-1e60-3947-a0a5e8041c47;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.3;Borderline leprosy;A
7dc5f4a2-5131-4b56-1528-5cbdac6a4c67;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.4;Borderline lepromatous leprosy;A
04c4a5ab-75b8-a40f-a062-9258f891340f;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.5;Lepromatous leprosy;A
7fb71f4b-53d6-309f-5573-37ba63b842f8;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.8;Other forms of leprosy;A
ef559314-8613-23ed-6d30-1d3409c1525f;31bff161-2fa5-4847-7fcb-0c1c7c212548;A30.9;Leprosy, unspecified;A
a2761f9c-701a-1d03-34c4-f3fdba2d77ae;31bff161-2fa5-4847-7fcb-0c1c7c212548;A31;Infection due to other mycobacteria;A
91e2ffdc-3175-3328-1a06-91c8ee018e1d;31bff161-2fa5-4847-7fcb-0c1c7c212548;A31.0;Pulmonary mycobacterial infection;A
4dfde913-9fef-7132-6597-8267487d168f;31bff161-2fa5-4847-7fcb-0c1c7c212548;A31.1;Cutaneous mycobacterial infection;A
33baedd6-89c8-487e-945f-9172c027807f;31bff161-2fa5-4847-7fcb-0c1c7c212548;A31.8;Other mycobacterial infections;A
5ef9f973-6897-a07b-7463-cc4d0d612fc0;31bff161-2fa5-4847-7fcb-0c1c7c212548;A31.9;Mycobacterial infection, unspecified;A
0b524f79-a688-2f5e-6733-fa9c1e1226d1;31bff161-2fa5-4847-7fcb-0c1c7c212548;A32;Listeriosis;A
12acc406-8a5b-99ef-0b1e-6607354693c6;31bff161-2fa5-4847-7fcb-0c1c7c212548;A32.0;Cutaneous listeriosis;A
69852fa9-81e4-0924-3138-64a5d52e5527;31bff161-2fa5-4847-7fcb-0c1c7c212548;A32.1;Listerial meningitis and meningoencephalitis;A
ef082919-86b5-7895-3011-516043438762;31bff161-2fa5-4847-7fcb-0c1c7c212548;A32.7;Listerial septicaemia;A
4be903d2-4d17-7248-40ab-a4bd462232e8;31bff161-2fa5-4847-7fcb-0c1c7c212548;A32.8;Other forms of listeriosis;A
317db0ab-724f-3c05-83be-2b2278954286;31bff161-2fa5-4847-7fcb-0c1c7c212548;A32.9;Listeriosis, unspecified;A
1a91d962-28ec-1048-3491-e4590af088f0;31bff161-2fa5-4847-7fcb-0c1c7c212548;A33;Tetanus neonatorum;A
