id;person_employee_id;room_id;schedule_day;schedule_start;schedule_end;notes;record_status
9E7E395C-7893-5BD3-5B55-39AA589E7DC8;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;1;09:00:00;21:00:00;JADWAL LAB SENIN;A
E7BA483B-8326-64C5-7032-7DCD6BF464B4;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;1;09:00:00;21:00:00;JADWAL POLI UMUM SENIN;A
E58B2DAB-70B1-4E68-914A-C0BEDBC2878C;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;1;09:00:00;15:00:00;JADWAL LAB SENIN PAGI;A
56D01DAB-67D5-5D81-6E8D-FCBE73812381;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;1;14:00:00;20:00:00;JADWAL DOKTER;NA
1ED8F0F2-1FBD-19E4-9F18-F2FBB1AE28A7;1c544a0f-00fe-a549-7bd7-3f4f8358070f;802464C6-4182-0D2B-7966-5EE7A45B9060;2;09:00:00;21:00:00;JADWAL POLI UMUM SELASA;A
CAF72F2D-2D4F-56B7-1C39-E118E2B12CF9;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;2;09:00:00;21:00:00;jadwal kebidanan MINGGU;A
129EEE0C-3D59-0A5B-5149-65C112F8632E;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;2;09:00:00;15:00:00;JADWAL LAB SELASA PAGI;A
473AE8C9-9774-36A4-0C6B-BCDA82DC6FE1;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;2;02:00:00;20:00:00;JADWAL POLI GIGI SENIN;A
94469E33-0D07-83C1-76E5-27DCBE788F83;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;3;09:00:00;21:00:00;UMUM;A
7D15112B-A55D-6CE3-2707-5FBC01BB9301;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;3;09:00:00;15:00:00;jadwal lab rabu;A
328943F9-9335-00CE-5DBF-490D5E539D3E;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;3;15:00:00;21:00:00;jadwal lab rabu;A
87F73411-3290-0DEB-6692-EE3286368186;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;09:00:00;02:30:00;kebidanan;A
211915AE-34FC-845F-19A2-29F47A089807;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;5;15:00:00;21:00:00;KEBIDANAN;A
4A012FFA-2223-2DB0-0F74-31F56E87871D;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;6;09:00:00;03:00:00;Laboratorium ;A
A4F59E26-60BD-03A6-955B-5D391F2F5297;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;1;09:00:00;15:00:00;bidan;NA
A17745BB-19D6-008C-7568-FE7F177E4A0C;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;0;09:00:00;21:00:00;kebidanan;A
EB3BD8FF-3B98-648F-8CE8-4C3D59EC1E2E;deccce62-7fb0-71ef-669c-f687da0e9c02;F78D5882-1BF1-6632-40EF-396ED7AB4990;4;15:00:00;21:00:00;Jadwal Poli Umum Sore;A
70CA7527-A4C6-A287-A42B-B8220E484FB1;deccce62-7fb0-71ef-669c-f687da0e9c02;F78D5882-1BF1-6632-40EF-396ED7AB4990;6;09:00:00;21:00:00;Jadwal dr. rizki sabtu;A
8E6712B0-0E8D-5F9B-8B97-F56F5F4EEC7;deccce62-7fb0-71ef-669c-f687da0e9c02;F78D5882-1BF1-6632-40EF-396ED7AB4990;0;03:00:00;21:00:00;jadwal hari ini;A
F690A355-572A-03A4-8933-70B93AA36BD1;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;0;15:49:11;15:49:11;bidan ;A
19938DC2-1A69-3661-6B44-84FA5AB27935;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;2;15:00:00;21:00:00;JADWAL LAB SELASA;A
D8948657-00AB-8FEC-50E6-5B886A8B3A86;deccce62-7fb0-71ef-669c-f687da0e9c02;F78D5882-1BF1-6632-40EF-396ED7AB4990;2;09:00:00;21:00:00;Jadwal Dr. Rizky;A
632D9AE5-462A-2E2A-0597-DEA839396EA4;d89d2dc3-32b4-24fc-9e9a-34c293f0a215;802464C6-4182-0D2B-7966-5EE7A45B9060;3;09:00:00;21:00:00;;A
265D7D58-8873-533A-1773-A2AFB8DF20E9;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;3;02:00:00;20:00:00;JADWAL POLI GIGI RABU;A
2278A775-125A-3503-7906-179E0DCB776F;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;09:00:00;21:00:00;JADWAL LAB KAMIS;A
58065E9A-288D-9811-0218-B4BE93885919;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;4;14:00:00;20:00:00;JADWAL POLI GIGI KAMIS;A
3662CEA8-7EC0-16ED-8D8E-8A89D7FC7AB6;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;4;03:00:00;21:00:00;bidan ;A
4DE90DA7-62AE-875D-3C89-AB3B82C53AA8;d89d2dc3-32b4-24fc-9e9a-34c293f0a215;802464C6-4182-0D2B-7966-5EE7A45B9060;5;09:00:00;21:00:00;umum;A
637155A1-842A-5250-2FE5-51E0E898222E;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;6;09:00:00;15:00:00;poli kebidanan ;A
DEE4568F-2915-692D-45DE-31FE90DA5E5C;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;3;09:00:00;15:00:00;jadwal kebidanan pagi;A
D36F36A6-0DCF-A0D4-2F29-7B6C0160A17D;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;5;09:00:00;21:00:00;UMUM;A
E67826F9-190E-44C0-164E-9B1D5B167A79;d89d2dc3-32b4-24fc-9e9a-34c293f0a215;802464C6-4182-0D2B-7966-5EE7A45B9060;6;09:00:00;21:00:00;Poli Umm Sabtu ;A
D24F80C7-690A-2867-87B2-FBE54A7A6F3F;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;6;09:00:00;21:00:00;Jadwal Bidan ;A
D1A518B7-5EE4-718E-8B6F-C1BEE13FA301;59c2dfbf-3527-056d-7164-40e82fec15e4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;0;09:00:00;15:00:00;JADWAL KEB PAGI MINGGU;A
88F88AE7-612A-8AB3-678F-99A2FC4F890E;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;3;21:00:00;15:00:00;KEBIDANAN;A
73A96DFC-2F96-00FC-1DCC-5086FF203344;bb7ddc61-8758-9af7-1dba-70e5f673463a;19345EC0-9117-8471-3D59-DDC9E0F73C9E;4;15:00:00;21:00:00;jadwal poli umum kamis sore;A
59B0B266-316C-35C9-48BA-E2E5BE9A22CE;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;5;15:00:00;08:00:00;dokter gigi;A
7CE96AC3-8741-567B-2666-194CD2593E87;6b43eed2-7730-06ff-98f8-c7095c129356;19345EC0-9117-8471-3D59-DDC9E0F73C9E;6;09:00:00;21:00:00;Jadwal Bidan Selfi;A
87F0C5D9-0832-6DD7-59FB-347C868741FE;6b43eed2-7730-06ff-98f8-c7095c129356;19345EC0-9117-8471-3D59-DDC9E0F73C9E;3;09:00:00;21:00:00;Jadwal Bidan Selfi;A
F068C865-423C-4097-4FAF-92718B062538;59c2dfbf-3527-056d-7164-40e82fec15e4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;1;20:28:31;20:28:31;kebidanan;NA
2BDD4AAF-3E0E-9503-466F-EE9E032897B6;d89d2dc3-32b4-24fc-9e9a-34c293f0a215;802464C6-4182-0D2B-7966-5EE7A45B9060;0;09:00:00;21:00:00;UMUM;A
595A9887-9D2B-363D-3E2B-74BAF5331AE6;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;6;09:00:00;21:00:00;umum;A
D3902268-0DB7-01D2-9344-7C8637567AB7;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;6;14:10:49;14:10:49;jadwal sabtu;A
1CB8E070-614F-35CE-8F9B-476C99881E51;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;0;09:00:00;21:00:00;JADWAL MINGGU ;A
0AED98FB-0D61-1C0E-0CF3-74CEFFA13D09;8c40c563-54ab-22bc-3061-71eba7570fd0;802464C6-4182-0D2B-7966-5EE7A45B9060;2;09:00:00;15:00:00;POLI KEBIDANAN SELASA;A
0D61E8F7-1AB2-4954-71D5-D5BEBAAD397;bb7ddc61-8758-9af7-1dba-70e5f673463a;19345EC0-9117-8471-3D59-DDC9E0F73C9E;0;09:00:00;21:00:00;jadwal hari ini;A
5E32CE9D-30CF-75D2-8B33-9C00006724F3;269bfdfe-3cfe-3e25-2ed4-46a59109a09c;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;1;09:00:00;21:00:00;jadwal poli umum senin;A
97DA3A7B-628B-327D-059B-3CEAA55D6E22;269bfdfe-3cfe-3e25-2ed4-46a59109a09c;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;2;09:00:00;21:00:00;JADWAL POLI UMUM SELASA;A
FAE02EC9-68DD-5F5F-5468-DC6E648C3187;269bfdfe-3cfe-3e25-2ed4-46a59109a09c;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;3;09:00:00;21:00:00;JADWAL POLI UMUM RABU;A
32C81F24-50BB-1370-83E0-E623624527D2;1a1ac8fe-7dfb-2dfa-6911-36c06bac6ac7;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;15:00:00;21:00:00;JADWAL DR IRFIANI;A
37141D41-5D85-77F4-317E-E62788DB9AA9;1a1ac8fe-7dfb-2dfa-6911-36c06bac6ac7;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;5;09:00:00;21:00:00;JADWAL DOLTER;A
D0D7A0C0-2AB2-9FE7-9595-65DA43676580;ccd1eed5-7bcd-74c9-7792-2b33712107eb;F78D5882-1BF1-6632-40EF-396ED7AB4990;1;09:00:00;21:00:00;Jadwal Dokter Gigi;A
B7CDF497-01E6-2263-984D-0962965B2A64;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;09:00:00;15:00:00;JADWAL DOKTER;A
4633021E-46A5-0E55-4E9E-43DE61F6459B;1a1ac8fe-7dfb-2dfa-6911-36c06bac6ac7;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;15:00:00;21:00:00;JADWAL DOKTER;A
43053D72-3A4B-74A5-8162-2A409F1C3F78;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;1;21:00:00;15:00:00;KEBIDANAN;A
D9E026AB-987B-6551-4987-F7F879BC81B9;dbfcfa92-7b47-7474-5daa-3c41fe890f74;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;2;21:00:00;09:00:00;UMUM;A
2CFFD6D0-0536-5922-370F-0768F8AE21E3;d4182346-5968-4958-33fb-842ed30005a2;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;09:00:00;21:00:00;JADWAL HARI KAMIS;A
